urls;actions;numerosity;original_index;main_action
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=464&GameID=0022400366&Season=2024-25&flag=1&title=Jackson%20Jr.%2011%27%20Driving%20Floating%20Jump%20Shot%20(13%20PTS)%20(Pippen%20Jr.%205%20AST);[{'player': '13', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '1', 'color': 'blue'}];1;281;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=187&GameID=0022400871&Season=2024-25&flag=1&title=Sochan%205%27%20Cutting%20Layup%20Shot%20(7%20PTS)%20(Champagnie%201%20AST);[{'player': '10', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '30', 'color': 'black'}];1;265;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=550&GameID=0022400375&Season=2024-25&flag=1&title=Herro%203%27%20Reverse%20Layup%20(22%20PTS)%20(Smith%203%20AST);[{'player': '14', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '12', 'color': 'black'}];1;164;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=52&GameID=0022400874&Season=2024-25&flag=1&title=Harden%203%27%20Driving%20Finger%20Roll%20Layup%20(2%20PTS)%20(Powell%201%20AST);[{'player': '1', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '24', 'color': 'blue'}];1;9;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=92&GameID=0022400867&Season=2024-25&flag=1&title=Sharpe%2010%27%20Driving%20Floating%20Jump%20Shot%20(7%20PTS);[{'player': '17', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None, 'color': 'red'}];1;77;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=155&GameID=0022401216&Season=2024-25&flag=1&title=Green%201%27%20Cutting%20Dunk%20Shot%20(4%20PTS)%20(Theis%201%20AST);[{'player': '4', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '10', 'color': 'blue'}];1;278;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=170&GameID=0022400374&Season=2024-25&flag=1&title=Antetokounmpo%201%27%20Driving%20Layup%20(7%20PTS);[{'player': '34', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None, 'color': 'black'}];1;93;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=93&GameID=0022400864&Season=2024-25&flag=1&title=Curry%201%27%20Cutting%20Layup%20Shot%20(6%20PTS)%20(Green%202%20AST);[{'player': '30', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '23', 'color': 'blue'}];1;109;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=38&GameID=0022401224&Season=2024-25&flag=1&title=Mitchell%2015%27%20Turnaround%20Jump%20Shot%20(2%20PTS);[{'player': '45', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None, 'color': 'white'}];1;5;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=56&GameID=0022400865&Season=2024-25&flag=1&title=Irving%202%27%20Driving%20Finger%20Roll%20Layup%20(2%20PTS);[{'player': '11', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None, 'color': 'white'}];1;173;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=580&GameID=0022401218&Season=2024-25&flag=1&title=Sochan%2012%27%20Turnaround%20Jump%20Shot%20(16%20PTS)%20(Wembanyama%205%20AST);[{'player': '10', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '1', 'color': 'white'}];1;97;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=192&GameID=0022400433&Season=2024-25&flag=1&title=Williams%204%27%20Running%20Layup%20(2%20PTS)%20(Sexton%204%20AST);[{'player': '5', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '2', 'color': 'purple'}];1;195;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=76&GameID=0022400919&Season=2024-25&flag=1&title=Curry%2019%27%20Step%20Back%20Jump%20Shot%20(5%20PTS)%20(Green%201%20AST);[{'player': '30', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '23', 'color': 'white'}];1;184;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=245&GameID=0022400862&Season=2024-25&flag=1&title=Sengun%202%27%20Driving%20Dunk%20(14%20PTS);[{'player': '28', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None, 'color': 'red'}];1;154;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=353&GameID=0022401219&Season=2024-25&flag=1&title=Clingan%203%27%20Layup%20(10%20PTS)%20(Grant%202%20AST);[{'player': '23', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '9', 'color': 'white'}];1;57;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=305&GameID=0022400872&Season=2024-25&flag=1&title=Williamson%207%27%20Driving%20Layup%20(14%20PTS)%20(McCollum%203%20AST);[{'player': '1', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '3', 'color': 'white'}];1;60;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=556&GameID=0022401218&Season=2024-25&flag=1&title=Gobert%201%27%20Alley%20Oop%20Dunk%20(6%20PTS)%20(DiVincenzo%201%20AST);[{'player': '27', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '0', 'color': 'green'}];1;147;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=570&GameID=0022400887&Season=2024-25&flag=1&title=McDaniels%2016%27%20Fadeaway%20Jumper%20(17%20PTS)%20(DiVincenzo%207%20AST);[{'player': '3', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '0', 'color': 'blue'}];1;108;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=632&GameID=0022401216&Season=2024-25&flag=1&title=Siakam%203%27%20Finger%20Roll%20Layup%20(22%20PTS)%20(Haliburton%208%20AST);[{'player': '43', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '0', 'color': 'white'}];1;63;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=22&GameID=0022400923&Season=2024-25&flag=1&title=Edey%2011%27%20Floating%20Jump%20Shot%20(2%20PTS)%20(Bane%201%20AST);[{'player': '14', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '22', 'color': 'white'}];1;140;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=700&GameID=0022400894&Season=2024-25&flag=1&title=Filipowski%203%27%20Layup%20(23%20PTS);[{'player': '22', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None, 'color': 'white'}];1;155;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=221&GameID=0022401223&Season=2024-25&flag=1&title=Walter%207%27%20Driving%20Floating%20Jump%20Shot%20(4%20PTS);[{'player': '14', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None, 'color': 'red'}];1;104;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=524&GameID=0022401218&Season=2024-25&flag=1&title=DiVincenzo%203%27%20Driving%20Layup%20(5%20PTS)%20(Conley%206%20AST);[{'player': '0', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '10', 'color': 'green'}];1;247;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=429&GameID=0022400368&Season=2024-25&flag=1&title=Porter%20Jr.%2013%27%20Step%20Back%20Jump%20Shot%20(4%20PTS);[{'player': '77', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None, 'color': 'blue'}];1;46;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=381&GameID=0022400864&Season=2024-25&flag=1&title=Oubre%20Jr.%201%27%20Driving%20Reverse%20Layup%20(17%20PTS);[{'player': '9', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None, 'color': 'white'}];1;42;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=607&GameID=0022401227&Season=2024-25&flag=1&title=Anthony%202%27%20Driving%20Layup%20(4%20PTS);[{'player': '0', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None, 'color': 'white'}];1;275;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=17&GameID=0022400868&Season=2024-25&flag=1&title=Bulls%20Rebound;[{'player': '3', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None, 'color': 'red'}];1;280;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=31&GameID=0022401219&Season=2024-25&flag=1&title=Nurkic%202%27%20Cutting%20Dunk%20Shot%20(3%20PTS)%20(Jones%201%20AST);[{'player': '20', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '21', 'color': 'purple'}];1;116;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=47&GameID=0022400910&Season=2024-25&flag=1&title=Vassell%2014%27%20Pullup%20Jump%20Shot%20(4%20PTS);[{'player': '24', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None, 'color': 'white'}];1;213;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=412&GameID=0022400402&Season=2024-25&flag=1&title=Beal%208%27%20Driving%20Layup%20(17%20PTS)%20(Jones%202%20AST);[{'player': '3', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '21', 'color': 'purple'}];1;236;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=785&GameID=0022400919&Season=2024-25&flag=1&title=Cunningham%206%27%20Running%20Layup%20(29%20PTS);[{'player': '2', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None, 'color': 'blue'}];1;17;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=337&GameID=0022400905&Season=2024-25&flag=1&title=Barnes%2011%27%20Turnaround%20Fadeaway%20(6%20PTS);[{'player': '4', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None, 'color': 'purple'}];1;239;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=486&GameID=0022401222&Season=2024-25&flag=1&title=Maxey%201%27%20Driving%20Layup%20(30%20PTS)%20(Oubre%20Jr.%204%20AST);[{'player': '0', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '9', 'color': 'white'}];1;33;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=585&GameID=0022400901&Season=2024-25&flag=1&title=Post%2014%27%20Floating%20Jump%20Shot%20(10%20PTS)%20(Curry%204%20AST);[{'player': '21', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '30', 'color': 'white'}];1;24;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=73&GameID=0022400885&Season=2024-25&flag=1&title=MISS%20Curry%203%27%20Driving%20Finger%20Roll%20Layup;[{'player': '30', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None, 'color': 'blue'}];1;45;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=525&GameID=0022400884&Season=2024-25&flag=1&title=Capela%201%27%20Layup%20(8%20PTS)%20(Young%2010%20AST);[{'player': '15', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '11', 'color': 'red'}];1;7;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=484&GameID=0022400375&Season=2024-25&flag=1&title=J.%20Williams%2012%27%20Pullup%20Jump%20Shot%20(24%20PTS)%20(Caruso%204%20AST);[{'player': '8', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '9', 'color': 'orange'}];1;113;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=320&GameID=0022400910&Season=2024-25&flag=1&title=LaVine%2017%27%20Fadeaway%20Jumper%20(23%20PTS)%20(Valan%C4%8Di%C5%ABnas%204%20AST);[{'player': '8', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '17', 'color': 'black'}];1;194;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=448&GameID=0022400887&Season=2024-25&flag=1&title=TIMBERWOLVES%20Rebound;[{'player': '9', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None, 'color': 'white'}];1;111;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=232&GameID=0022400886&Season=2024-25&flag=1&title=Horton-Tucker%201%27%20Driving%20Finger%20Roll%20Layup%20(12%20PTS);[{'player': '22', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None, 'color': 'white'}];1;92;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=482&GameID=0022401223&Season=2024-25&flag=1&title=MISS%20Vucevic%203%27%20Reverse%20Layup;[{'player': '9', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None, 'color': 'black'}];1;75;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=399&GameID=0022400367&Season=2024-25&flag=1&title=Randle%202%27%20Running%20Layup%20(23%20PTS)%20(Edwards%206%20AST);[{'player': '30', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '5', 'color': 'white'}];1;82;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=611&GameID=0022400860&Season=2024-25&flag=1&title=Smith%20Jr.%2015%27%20Pullup%20Jump%20Shot%20(12%20PTS)%20(Green%205%20AST);[{'player': '8', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '10', 'color': 'blue'}];1;118;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=391&GameID=0022400865&Season=2024-25&flag=1&title=Lillard%208%27%20Running%20Finger%20Roll%20Layup%20(18%20PTS)%20(Prince%204%20AST);[{'player': '0', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '12', 'color': 'green'}];1;76;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=307&GameID=0022400952&Season=2024-25&flag=1&title=McDaniels%203%27%20Running%20Layup%20(8%20PTS)%20(Gobert%202%20AST);[{'player': '3', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '27', 'color': 'blue'}];1;129;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=585&GameID=0022400866&Season=2024-25&flag=1&title=Murray%203%27%20Driving%20Layup%20(24%20PTS);[{'player': '27', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None, 'color': 'white'}];1;197;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=462&GameID=0022401219&Season=2024-25&flag=1&title=Dunn%203%27%20Reverse%20Layup%20(2%20PTS)%20(Booker%204%20AST);[{'player': '0', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '1', 'color': 'purple'}];1;210;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=15&GameID=0022400433&Season=2024-25&flag=1&title=Clarkson%2023%27%20Jump%20Shot%20(2%20PTS)%20(Sexton%201%20AST);[{'player': '00', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '2', 'color': 'purple'}];1;288;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=70&GameID=0022400865&Season=2024-25&flag=1&title=Washington%205%27%20Driving%20Hook%20Shot%20(2%20PTS);[{'player': '25', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None, 'color': 'white'}];1;219;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=552&GameID=0022400378&Season=2024-25&flag=1&title=LaRavia%2015%27%20Fadeaway%20Jumper%20(11%20PTS)%20(Konchar%201%20AST);[{'player': '3', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '46', 'color': 'blue'}];1;178;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=518&GameID=0022400860&Season=2024-25&flag=1&title=Kispert%208%27%20Driving%20Floating%20Jump%20Shot%20(10%20PTS)%20(Holmes%203%20AST);[{'player': '24', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '22', 'color': 'white'}];1;144;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=154&GameID=0022400860&Season=2024-25&flag=1&title=Green%201%27%20Pullup%20Jump%20Shot%20(8%20PTS);[{'player': '10', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None, 'color': 'blue'}];1;186;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=48&GameID=0022400384&Season=2024-25&flag=1&title=McCollum%2011%27%20Step%20Back%20Jump%20Shot%20(4%20PTS);[{'player': '3', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None, 'color': 'red'}];1;84;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=55&GameID=0022400394&Season=2024-25&flag=1&title=Sochan%201%27%20Reverse%20Layup%20(4%20PTS)%20(Wembanyama%201%20AST);[{'player': '10', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '1', 'color': 'black'}];1;248;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=237&GameID=0022400919&Season=2024-25&flag=1&title=Beasley%208%27%20Driving%20Floating%20Jump%20Shot%20(4%20PTS)%20(Schroder%201%20AST);[{'player': '5', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '17', 'color': 'blue'}];1;277;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=147&GameID=0022400378&Season=2024-25&flag=1&title=MISS%20Jackson%20Jr.%2010%27%20Driving%20Floating%20Jump%20Shot;[{'player': '13', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None, 'color': 'blue'}];1;73;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=609&GameID=0022400884&Season=2024-25&flag=1&title=Lillard%201%27%20Driving%20Layup%20(20%20PTS);[{'player': '0', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None, 'color': 'white'}];1;244;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=94&GameID=0022400894&Season=2024-25&flag=1&title=Sensabaugh%203%27%20Driving%20Layup%20(8%20PTS)%20(Martin%201%20AST);[{'player': '28', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '99', 'color': 'white'}];1;25;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=46&GameID=0022400901&Season=2024-25&flag=1&title=Moody%203%27%20Running%20Layup%20(2%20PTS)%20(Curry%201%20AST);[{'player': '4', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': '30', 'color': 'white'}];1;209;2PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=69&GameID=0022400898&Season=2024-25&flag=1&title=MISS%20Cunningham%2027%27%203PT%20Pullup%20Jump%20Shot;[{'player': '2', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None, 'color': 'white'}];1;329;3PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=152&GameID=0022401222&Season=2024-25&flag=1&title=MISS%20Salaun%2030%27%203PT%20Jump%20Shot;[{'player': '31', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None, 'color': 'blue'}];1;470;3PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=311&GameID=0022400860&Season=2024-25&flag=1&title=Green%2025%27%203PT%20Jump%20Shot%20(11%20PTS)%20(Smith%20Jr.%202%20AST);[{'player': '10', 'action': '3PT Shot', 'result': True, 'assisted': True, 'other_player': '8', 'color': 'blue'}];1;383;3PT Shot
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=288&GameID=0022401226&Season=2024-25&flag=1&title=Powell%2024%27%203PT%20Jump%20Shot%20(16%20PTS)%20(Zubac%203%20AST);[{'player': '24', 'action': '3PT Shot', 'result': True, 'assisted': True, 'other_player': '40', 'color': 'red'}];1;497;3PT Shot
